method,maxsize,instance,time,objective
level,50,N-t59b11xx_150,2.111809492111206,2993585
level,50,N-t59d11xx_150,4.595649003982544,1321977
level,50,N-t59f11xx_150,2.939846992492676,1398656
level,50,N-t59n11xx_150,1.1832389831542969,299986
level,50,N-t65b11xx_150,5.024135589599609,5914071
level,50,N-t65d11xx_150,4.682201147079468,3233110
level,50,N-t65f11xx_150,5.257029533386231,2931322
level,50,N-t65l11xx_150,0.493760347366333,243048
level,50,N-t65n11xx_150,2.143632650375366,518229
level,50,N-t69r11xx_150,5.886837482452393,11171555
level,50,N-t70b11xx_150,9.936354160308838,9023853
level,50,N-t70d11xn_150,7.143972396850586,5376410
level,50,N-t70d11xx_150,10.496808528900146,5713902
level,50,N-t70f11xx_150,6.690994739532471,4740653
level,50,N-t70l11xx_150,1.9201242923736568,416063
level,50,N-t70n11xx_150,2.9872541427612305,891357
level,50,N-t74d11xx_150,11.019345998764038,8699529
level,50,N-t75d11xx_150,11.379721403121948,9014938
level,50,N-t75e11xx_150,14.595856189727783,38932770
level,50,N-t75k11xx_150,2.4087557792663574,1432880
level,50,N-t75n11xx_150,2.4226882457733154,1640145
level,50,N-tiw56n54_150,2.543039321899414,766977
level,50,N-tiw56n58_150,4.558452606201172,1061657
level,50,N-tiw56n62_150,8.244617223739624,1515945
level,50,N-tiw56n66_150,4.13673996925354,1937542
level,50,N-tiw56n67_150,7.242622852325439,2213177
level,50,N-tiw56n72_150,6.78182578086853,3868275
level,50,N-tiw56r54_150,2.5346996784210205,884683
level,50,N-tiw56r58_150,2.49564790725708,1131027
level,50,N-tiw56r66_150,5.398381471633911,1773547
level,50,N-tiw56r67_150,6.243491172790527,1920275
level,50,N-tiw56r72_150,4.57894778251648,2618014
level,60,N-be75eec_150,3.5993452072143555,3259393
level,60,N-be75np_150,16.026093244552612,6724437
level,60,N-be75oi_150,3.768760681152344,2177386
level,60,N-be75tot_150,7.973841428756714,11455867
level,60,N-stabu1_150,8.027766942977905,2680187
level,60,N-stabu2_150,23.455321073532104,4056361
level,60,N-stabu3_150,11.578944444656372,4253444
level,60,N-t59b11xx_150,4.857360124588013,3001165
level,60,N-t59d11xx_150,8.442588090896606,1330172
level,60,N-t59f11xx_150,10.129469394683838,1411252
level,60,N-t59n11xx_150,19.201005935668945,302488
level,60,N-t65b11xx_150,4.862094402313232,5914071
level,60,N-t65d11xx_150,4.476887464523315,3233110
level,60,N-t65f11xx_150,8.136143922805786,2953895
level,60,N-t65l11xx_150,4.398512363433838,245242
level,60,N-t65n11xx_150,17.612859964370728,521226
level,60,N-t69r11xx_150,8.715723752975464,11230685
level,60,N-t70b11xx_150,9.86962866783142,9023853
level,60,N-t70d11xn_150,27.619765758514404,5403363
level,60,N-t70d11xx_150,30.145986318588257,5751515
level,60,N-t70f11xx_150,10.67155385017395,4756008
